Time,Thrust
0,-0.738
100,-0.741
200,-0.743
300,-0.744
400,-0.744
500,-0.745
600,-0.744
700,-0.744
800,-0.749
900,-0.753
1000,-0.756
1100,-0.759
1200,-0.762
1300,-0.764
1400,-0.764
1500,-0.765
1600,-0.767
1700,-0.769
1800,-0.769
1900,-0.767
2000,-0.768
2100,-0.768
2200,-0.767
2300,-0.768
2400,-0.771
2500,-0.773
2600,-0.774
2700,-0.777
2800,-0.781
2900,-0.782
3000,-0.782
3100,-0.782
3200,-0.779
3300,-0.777
3400,-0.777
3500,-0.777
3600,-0.778
3700,-0.781
3800,-0.782
3900,-0.787
4000,-0.792
4100,-0.794
4200,-0.793
4300,-0.794
4400,-0.792
4500,-0.788
4600,-0.786
4700,-0.786
4800,-0.784
4900,-0.782
5000,-0.778
5100,-0.769
5200,-0.751
5300,-0.715
5400,-0.652
5500,-0.534
5600,-0.317
5700,0.091
5800,0.891
5900,2.134
6000,3.651
6100,5.241
6200,6.689
6300,7.751
6400,8.301
6500,8.474
6600,8.416
6700,8.218
6800,7.91
6900,7.543
7000,7.162
7100,6.774
7200,6.373
7300,5.97
7400,5.58
7500,5.169
7600,4.757
7700,4.283
7800,3.838
7900,3.415
8000,3.008
8100,2.619
8200,2.343
8300,2.088
8400,1.863
8500,1.671
8600,1.504
8700,1.346
8800,1.2
8900,1.066
9000,0.947
9100,0.831
9200,0.724
9300,0.623
9400,0.524
9500,0.421
9600,0.32
9700,0.224
9800,0.131
9900,0.036
10000,-0.064
10100,-0.174
10200,-0.296
10300,-0.429
10400,-0.561
10500,-0.69
10600,-0.809
10700,-0.912
10800,-1.003
10900,-1.089
11000,-1.168
11100,-1.243
11200,-1.311
11300,-1.374
11400,-1.43
11500,-1.478
11600,-1.522
11700,-1.561
11800,-1.591
11900,-1.612
12000,-1.626
12100,-1.633
12200,-1.633
12300,-1.631
12400,-1.631
12500,-1.631
12600,-1.632
12700,-1.633
12800,-1.636
12900,-1.636
13000,-1.635
13100,-1.636
13300,-1.635
13400,-1.638
13500,-1.643
13600,-1.646
13700,-1.649
13800,-1.656
13900,-1.66
14000,-1.663
14100,-1.665
14200,-1.666
14300,-1.667
14400,-1.668
14500,-1.669
14600,-1.672
14700,-1.674
14800,-1.672
14900,-1.672
15100,-1.67
15200,-1.67
15300,-1.674
15400,-1.675
15500,-1.674
15600,-1.676
15700,-1.678
15800,-1.678
